OTUID	All	HDC	MDC	NCC
ASV_497	0.038104	0.04815671	0.04984226	0.01631376
ASV_287	0.037553	0.01945621	0.05233280	0.04086900
ASV_514	0.037319	0.041825714	0.062053760	0.008078082
ASV_440	0.037164	0.07005395	0.02411057	0.01732749
ASV_781	0.03739	0.001228570	0.002417476	0.108523324
ASV_305	0.03617	0.0907318472	0.0171671013	0.0006123286
ASV_621	0.036237	0.03757717	0.00000000	0.07113424
ASV_1246	0.036141	0.05211574	0.01799728	0.03830963
ASV_453	0.036277	0.0006495447	0.0000000000	0.1081799606
ASV_357	0.035326	0.001299089	0.074326022	0.030352759
ASV_542	0.034824	0.01651295	0.07303254	0.01492673
ASV_1386	0.035593	0.006914180	0.003691715	0.096174452
ASV_418	0.035426	0.0005790254	0.0017527766	0.1039463596
ASV_740	0.037255	0.0005790254	0.1035331839	0.0076535981
ASV_462	0.034969	0.03954483	0.01854821	0.04681458
ASV_322	0.034224	0.003595938	0.002379553	0.096697848
ASV_491	0.034946	0.0006399181	0.0006646992	0.1035346331
ASV_232	0.034803	0.02424660	0.00000000	0.08016211
ASV_296	0.034073	0.019285271	0.002510557	0.080423398
ASV_364	0.034042	0.02935529	0.05783113	0.01494105
ASV_472	0.033407	0.02446778	0.04322711	0.03252666
ASV_312	0.033937	0.01976279	0.00707037	0.07497775
ASV_967	0.033248	0.027589176	0.066442521	0.005712341
ASV_262	0.032887	0.06051504	0.02571380	0.01243364
ASV_332	0.032973	0.04621646	0.03293241	0.01976965
ASV_215	0.032508	0.009643771	0.006071269	0.081809430
ASV_541	0.032798	0.01464133	0.04440400	0.03934984
ASV_687	0.032802	0.001158051	0.000000000	0.097246912
ASV_502	0.031715	0.0005790254	0.0716761909	0.0228909977
ASV_1501	0.033469	0.098505746	0.001901016	0.000000000
ASV_1286	0.032474	0.007502832	0.003230415	0.086688403
ASV_599	0.03314	0.0006495447	0.0969352669	0.0018345993
ASV_554	0.032036	0.02657968	0.05026007	0.01926875
ASV_895	0.032099	0.02712247	0.02006722	0.04910629
ASV_371	0.031212	0.001858862	0.001807935	0.089968569
ASV_319	0.031328	0.00122857	0.00000000	0.09275446
ASV_524	0.03132	0.04453925	0.03340127	0.01601926
