orig_model	model	color	OTU	X1	X2
334	28	model_28	#EBF7A0	ASV_467	-0.0739981696399531	-17.5667242501605
335	9	model_9	#FDB567	ASV_377	13.5953200586102	0.985701909264594
336	1	model_1	#9E0142	ASV_430	-3.84681638542315	6.91095798862006
337	3	model_3	#F47346	ASV_448	16.9876370132285	-9.91699694652072
338	2	model_2	#E65948	ASV_438	-1.98628189205288	-22.4481813059289
339	49	mini_model	#C1C1C1	ASV_374	1.66592041061704	5.56299001373436
340	6	model_6	#FEE695	ASV_475	9.03942433020678	-19.1814760136235
341	1	model_1	#9E0142	ASV_1434	-4.26499825999593	3.28120015982468
342	1	model_1	#9E0142	ASV_443	-9.64972269470936	10.8249507805655
343	1	model_1	#9E0142	ASV_439	-1.64889189299494	7.00018668288507
344	18	model_18	#F8FCB4	ASV_427	-5.28476592381144	-26.4440005957613
345	13	mini_model	#C1C1C1	ASV_479	4.47064310729713	15.0829483560656
346	45	mini_model	#C1C1C1	ASV_451	-14.3713781537207	-16.7472733729219
347	1	model_1	#9E0142	ASV_413	-10.3474220757624	9.4129975510676
348	5	model_5	#D6404E	ASV_531	-16.8871200746205	2.64943305285237
349	27	mini_model	#C1C1C1	ASV_512	16.4011030762556	2.37024770225288
350	17	model_17	#348BBB	ASV_577	-0.403821388388456	11.1774984877637
351	92	mini_model	#C1C1C1	ASV_434	-17.3782875976621	-19.336221068213
352	4	model_4	#BA2148	ASV_397	-1.39572650137407	-2.88732061219116
353	1	model_1	#9E0142	ASV_489	-16.7705809700686	7.92518495511213
354	40	mini_model	#C1C1C1	ASV_495	11.7842762436867	10.0109809336545
355	28	model_28	#EBF7A0	ASV_462	3.28561663012336	-18.0938149919795
356	35	mini_model	#C1C1C1	ASV_617	12.693283464919	-6.25621727475449
357	4	model_4	#BA2148	ASV_454	-5.90975730695877	1.62394346797364
358	18	model_18	#F8FCB4	ASV_449	-7.2766499178516	-21.5793919349004
359	28	model_28	#EBF7A0	ASV_589	1.81402627637784	-17.4887400309412
360	1	model_1	#9E0142	ASV_1294	-14.6486286859753	2.86494730525692
361	18	model_18	#F8FCB4	ASV_446	-5.09568067550237	-25.4585790097436
362	5	model_5	#D6404E	ASV_502	-12.702280407321	0.300589600064398
363	1	model_1	#9E0142	ASV_556	-7.7558327199814	11.3723652807137
